datasets,k=1,presisi,recall,time,k=3,presisi,recall,time,k=5,presisi,recall,time,k=7,presisi,recall,time,k=9,presisi,recall,time
ekstraksi_ciri/radius5resize128zona4.csv,42.44,0.42,0.42,3.38,43.65,0.44,0.44,3.58,46.46,0.46,0.46,3.65,48.05,0.48,0.48,3.8,48.88,0.49,0.49,3.77
ekstraksi_ciri/radius2resize256zona4.csv,42.06,0.42,0.42,2.19,40.58,0.41,0.41,2.56,43.62,0.44,0.44,2.49,44.6,0.45,0.45,2.58,44.07,0.44,0.44,2.6
ekstraksi_ciri/radius4resize128zona4.csv,41.38,0.41,0.41,2.75,41.27,0.41,0.41,3.21,43.96,0.44,0.44,3.37,45.36,0.45,0.45,3.36,46.53,0.47,0.47,3.37
ekstraksi_ciri/radius9resize64zona2.csv,40.96,0.41,0.41,0.71,37.59,0.38,0.38,0.79,39.83,0.4,0.4,0.8,39.75,0.4,0.4,0.82,41.23,0.41,0.41,0.83
ekstraksi_ciri/radius8resize64zona2.csv,40.55,0.41,0.41,0.54,36.79,0.37,0.37,0.6,38.04,0.38,0.38,0.63,37.63,0.38,0.38,0.63,37.25,0.37,0.37,0.64
ekstraksi_ciri/radius3resize128zona4.csv,40.36,0.4,0.4,2.53,38.88,0.39,0.39,2.72,43.01,0.43,0.43,2.86,44.6,0.45,0.45,2.84,45.77,0.46,0.46,2.83
ekstraksi_ciri/radius4resize32zona2.csv,39.79,0.4,0.4,0.7,35.28,0.35,0.35,0.76,37.93,0.38,0.38,0.79,37.44,0.37,0.37,0.73,37.59,0.38,0.38,0.74
ekstraksi_ciri/radius4resize64zona4.csv,38.54,0.39,0.39,3.32,38.12,0.38,0.38,3.44,40.43,0.4,0.4,3.55,42.18,0.42,0.42,3.49,41.8,0.42,0.42,3.51
ekstraksi_ciri/radius3resize64zona16.csv,37.32,0.37,0.37,53.98,37.25,0.37,0.37,54.63,38.16,0.38,0.38,54.47,40.36,0.4,0.4,54.46,41.61,0.42,0.42,54.5
ekstraksi_ciri/radius3resize64zona4.csv,36.83,0.37,0.37,3.44,34.07,0.34,0.34,3.64,39.14,0.39,0.39,3.69,39.67,0.4,0.4,3.69,42.17,0.42,0.42,3.84
ekstraksi_ciri/radius2resize128zona4.csv,36.38,0.36,0.36,2.43,37.4,0.37,0.37,2.8,41,0.41,0.41,2.88,43.08,0.43,0.43,2.83,42.71,0.43,0.43,2.9
ekstraksi_ciri/radius1resize128zona4.csv,36.3,0.36,0.36,3,34.45,0.34,0.34,3.3,39.75,0.4,0.4,3.47,41.49,0.41,0.41,3.66,42.59,0.43,0.43,3.52
ekstraksi_ciri/radius3resize64zona8.csv,36.23,0.36,0.36,17.5,37.82,0.38,0.38,15.18,42.33,0.42,0.42,15.07,43.43,0.43,0.43,15.22,44.83,0.45,0.45,15.5
ekstraksi_ciri/radius3resize32zona8.csv,36.19,0.36,0.36,12.45,32.7,0.33,0.33,12.52,35.28,0.35,0.35,12.43,35.17,0.35,0.35,12.66,34.86,0.35,0.35,12.46
ekstraksi_ciri/radius2resize64zona4.csv,35.58,0.36,0.36,3.37,32.89,0.33,0.33,3.62,36.3,0.36,0.36,3.64,37.17,0.37,0.37,3.72,38.42,0.38,0.38,3.89
ekstraksi_ciri/radius9.csv,35.32,0.35,0.35,0.12,27.17,0.27,0.27,0.12,25.88,0.26,0.26,0.12,23.57,0.24,0.24,0.12,24.59,0.25,0.25,0.12
ekstraksi_ciri/radius8resize128zona2.csv,34.82,0.35,0.35,0.5,30.73,0.31,0.31,0.61,32.74,0.33,0.33,0.65,32.74,0.33,0.33,0.62,31.98,0.32,0.32,0.65
ekstraksi_ciri/radius7resize64zona2.csv,34.64,0.35,0.35,0.68,31.87,0.32,0.32,0.75,34.22,0.34,0.34,0.77,34.33,0.34,0.34,0.78,34.63,0.35,0.35,0.78
ekstraksi_ciri/radius2resize64zona16.csv,34.44,0.34,0.34,62.56,34.41,0.34,0.34,63.23,40.55,0.41,0.41,50.78,44.87,0.45,0.45,50.1,44.45,0.44,0.44,50.53
ekstraksi_ciri/radius2resize64zona8.csv,34.14,0.34,0.34,16.02,35.73,0.36,0.36,16.07,41.3,0.41,0.41,16.16,43.43,0.43,0.43,16.84,43.54,0.44,0.44,16.65
ekstraksi_ciri/radius8.csv,34.03,0.34,0.34,0.12,24.67,0.25,0.25,0.12,23.72,0.24,0.24,0.13,23.38,0.23,0.23,0.12,21.71,0.22,0.22,0.12
ekstraksi_ciri/radius1resize64zona4.csv,33.76,0.34,0.34,2.69,33.61,0.34,0.34,2.71,37.02,0.37,0.37,2.81,38.04,0.38,0.38,2.78,40.89,0.41,0.41,2.95
ekstraksi_ciri/radius2resize32zona4.csv,33.61,0.34,0.34,3.84,31.57,0.32,0.32,4.01,34.22,0.34,0.34,3.94,35.47,0.35,0.35,3.83,36.57,0.37,0.37,3.69
ekstraksi_ciri/radius9resize128zona2.csv,33.42,0.33,0.33,0.52,31.34,0.31,0.31,0.6,33.12,0.33,0.33,0.73,34.07,0.34,0.34,0.76,34.63,0.35,0.35,0.92
ekstraksi_ciri/radius2resize32zona8.csv,33.38,0.33,0.33,15.79,30.5,0.31,0.31,15.98,34.82,0.35,0.35,16.16,36.26,0.36,0.36,16.08,36.41,0.36,0.36,16.11
ekstraksi_ciri/radius1resize64zona8.csv,33.27,0.33,0.33,12.15,34.37,0.34,0.34,12.85,40.47,0.4,0.4,12.56,42.21,0.42,0.42,12.64,45.4,0.45,0.45,12.66
ekstraksi_ciri/radius6resize128zona2.csv,33.19,0.33,0.33,0.57,31.11,0.31,0.31,0.66,31.49,0.31,0.31,0.69,32.36,0.32,0.32,0.72,31.79,0.32,0.32,0.73
ekstraksi_ciri/radius6resize64zona2.csv,32.7,0.33,0.33,0.69,29.78,0.3,0.3,0.77,30.85,0.31,0.31,0.79,30.47,0.3,0.3,0.81,29.41,0.29,0.29,0.83
ekstraksi_ciri/radius1resize32zona4.csv,32.59,0.33,0.33,2.95,29.56,0.3,0.3,3.17,32.28,0.32,0.32,3.58,36.11,0.36,0.36,3.25,36.68,0.37,0.37,3.41
ekstraksi_ciri/radius3resize32zona2.csv,32.29,0.32,0.32,0.64,28.8,0.29,0.29,0.69,29.4,0.29,0.29,0.73,29.22,0.29,0.29,0.71,30.01,0.3,0.3,0.73
ekstraksi_ciri/radius7resize128zona2.csv,32.06,0.32,0.32,0.58,31,0.31,0.31,0.68,32.74,0.33,0.33,0.71,33.04,0.33,0.33,0.77,34.1,0.34,0.34,0.76
ekstraksi_ciri/radius4resize64zona2.csv,31.49,0.31,0.31,0.59,26.22,0.26,0.26,0.67,27.44,0.27,0.27,0.68,28.42,0.28,0.28,0.69,27.93,0.28,0.28,0.69
ekstraksi_ciri/radius7.csv,31.49,0.31,0.31,0.11,25.2,0.25,0.25,0.12,22.85,0.23,0.23,0.12,22.81,0.23,0.23,0.12,20.58,0.21,0.21,0.12
ekstraksi_ciri/radius5resize64zona2.csv,31.26,0.31,0.31,0.62,28.16,0.28,0.28,0.7,28.88,0.29,0.29,0.72,29.56,0.3,0.3,0.75,30.01,0.3,0.3,0.75
ekstraksi_ciri/radius1resize32zona2.csv,31.07,0.31,0.31,0.51,28.19,0.28,0.28,0.58,28.76,0.29,0.29,0.6,29.33,0.29,0.29,0.62,29.03,0.29,0.29,0.63
ekstraksi_ciri/radius8resize256zona2.csv,30.92,0.31,0.31,0.42,27.32,0.27,0.27,0.51,28.99,0.29,0.29,0.54,28.34,0.28,0.28,0.57,28.16,0.28,0.28,0.58
ekstraksi_ciri/radius6.csv,30.85,0.31,0.31,0.13,22.02,0.22,0.22,0.11,21.52,0.22,0.22,0.12,19.7,0.2,0.2,0.12,18.64,0.19,0.19,0.12
ekstraksi_ciri/radius2resize32zona2.csv,30.73,0.31,0.31,0.67,29.18,0.29,0.29,0.75,28.46,0.28,0.28,0.76,29.71,0.3,0.3,0.78,29.44,0.29,0.29,0.8
ekstraksi_ciri/radius9resize256zona2.csv,30.24,0.3,0.3,0.41,29.75,0.3,0.3,0.5,29.25,0.29,0.29,0.6,29.37,0.29,0.29,0.63,29.97,0.3,0.3,0.57
ekstraksi_ciri/radius7resize256zona2.csv,28.99,0.29,0.29,0.48,26.34,0.26,0.26,0.65,28.57,0.29,0.29,0.62,28.57,0.29,0.29,0.64,28.76,0.29,0.29,0.64
ekstraksi_ciri/radius4resize128zona2.csv,28.84,0.29,0.29,0.48,26.03,0.26,0.26,0.52,26.79,0.27,0.27,0.56,28.72,0.29,0.29,0.56,27.7,0.28,0.28,0.59
ekstraksi_ciri/radius5resize128zona2.csv,28.76,0.29,0.29,0.53,25.81,0.26,0.26,0.63,27.62,0.28,0.28,0.67,29.41,0.29,0.29,0.69,29.03,0.29,0.29,0.71
ekstraksi_ciri/radius3resize64zona2.csv,28.72,0.29,0.29,0.61,26.49,0.26,0.26,0.71,26.86,0.27,0.27,0.72,28,0.28,0.28,0.75,28.76,0.29,0.29,0.78
ekstraksi_ciri/radius6resize256zona2.csv,28.65,0.29,0.29,0.4,25.84,0.26,0.26,0.47,27.7,0.28,0.28,0.52,27.55,0.28,0.28,0.54,28.04,0.28,0.28,0.55
ekstraksi_ciri/radius5resize256zona2.csv,28.04,0.28,0.28,0.39,23.23,0.23,0.23,0.48,24.67,0.25,0.25,0.51,25.96,0.26,0.26,0.53,26.83,0.27,0.27,0.54
ekstraksi_ciri/radius5.csv,28.04,0.28,0.28,0.13,20.61,0.21,0.21,0.12,20.46,0.2,0.2,0.12,18.04,0.18,0.18,0.12,17.32,0.17,0.17,0.13
ekstraksi_ciri/radius2resize64zona2.csv,27.02,0.27,0.27,0.58,24.82,0.25,0.25,0.7,26.83,0.27,0.27,0.74,28.04,0.28,0.28,0.75,26.9,0.27,0.27,0.75
ekstraksi_ciri/radius1resize256zona2.csv,26.71,0.27,0.27,0.42,22.47,0.22,0.22,0.5,23.72,0.24,0.24,0.54,23.11,0.23,0.23,0.58,23.72,0.24,0.24,0.59
ekstraksi_ciri/radius4resize256zona2.csv,26.56,0.27,0.27,0.43,22.96,0.23,0.23,0.51,24.25,0.24,0.24,0.61,23.68,0.24,0.24,0.57,24.4,0.24,0.24,0.59
ekstraksi_ciri/radius3resize128zona2.csv,26.53,0.27,0.27,0.43,23.46,0.23,0.23,0.5,26.53,0.27,0.27,0.54,27.62,0.28,0.28,0.56,27.85,0.28,0.28,0.57
ekstraksi_ciri/radius8resize32.csv,26.11,0.26,0.26,0.13,24.21,0.24,0.24,0.14,24.82,0.25,0.25,0.14,25.05,0.25,0.25,0.15,25.01,0.25,0.25,0.16
ekstraksi_ciri/radius1resize64zona2.csv,26,0.26,0.26,0.44,24.63,0.25,0.25,0.53,25.39,0.25,0.25,0.56,27.02,0.27,0.27,0.59,27.55,0.28,0.28,0.64
ekstraksi_ciri/radius3resize256zona2.csv,25.84,0.26,0.26,0.37,22.17,0.22,0.22,0.45,24.44,0.24,0.24,0.48,24.1,0.24,0.24,0.5,24.18,0.24,0.24,0.52
ekstraksi_ciri/radius1resize32zona8.csv,25.58,0.26,0.26,13.98,24.4,0.24,0.24,13.1,26.68,0.27,0.27,13.13,29.25,0.29,0.29,13.17,28.5,0.28,0.28,13.1
ekstraksi_ciri/radius1resize64zona16.csv,25.43,0.25,0.25,53.83,24.52,0.25,0.25,67.61,28.8,0.29,0.29,64.06,29.71,0.3,0.3,63.47,30.58,0.31,0.31,64.07
ekstraksi_ciri/radius4.csv,25.43,0.25,0.25,0.11,18.64,0.19,0.19,0.12,17.54,0.18,0.18,0.12,16.75,0.17,0.17,0.12,15.38,0.15,0.15,0.12
ekstraksi_ciri/radius4resize32.csv,25.05,0.25,0.25,0.15,22.43,0.22,0.22,0.16,21.86,0.22,0.22,0.17,22.55,0.23,0.23,0.17,22.17,0.22,0.22,0.18
ekstraksi_ciri/radius2resize128zona2.csv,24.82,0.25,0.25,0.4,20.61,0.21,0.21,0.47,22.47,0.22,0.22,0.52,23.38,0.23,0.23,0.54,24.25,0.24,0.24,0.54
ekstraksi_ciri/radius9resize32.csv,24.63,0.25,0.25,0.14,22.36,0.22,0.22,0.17,23.15,0.23,0.23,0.18,23.38,0.23,0.23,0.19,23.83,0.24,0.24,0.2
ekstraksi_ciri/radius2resize256zona2.csv,23.95,0.24,0.24,0.36,21.56,0.22,0.22,0.42,22.43,0.22,0.22,0.44,24.59,0.25,0.25,0.47,23.91,0.24,0.24,0.48
ekstraksi_ciri/radius1resize128zona2.csv,23.84,0.24,0.24,0.46,22.28,0.22,0.22,0.56,24.06,0.24,0.24,0.6,24.59,0.25,0.25,0.63,26.11,0.26,0.26,0.65
ekstraksi_ciri/radius3resize32.csv,23.04,0.23,0.23,0.15,19.1,0.19,0.19,0.17,19.48,0.19,0.19,0.18,19.44,0.19,0.19,0.18,18.87,0.19,0.19,0.19
ekstraksi_ciri/radius3.csv,22.89,0.23,0.23,0.11,15.46,0.15,0.15,0.12,14.93,0.15,0.15,0.12,13.98,0.14,0.14,0.12,13.41,0.13,0.13,0.12
ekstraksi_ciri/radius7resize32.csv,22.74,0.23,0.23,0.14,18.6,0.19,0.19,0.16,19.86,0.2,0.2,0.17,20.05,0.2,0.2,0.18,19.63,0.2,0.2,0.18
ekstraksi_ciri/radius8resize64.csv,22.36,0.22,0.22,0.12,20.08,0.2,0.2,0.14,20.42,0.2,0.2,0.15,19.32,0.19,0.19,0.16,19.67,0.2,0.2,0.16
ekstraksi_ciri/radius5resize32.csv,22.09,0.22,0.22,0.14,19.1,0.19,0.19,0.16,19.4,0.19,0.19,0.17,19.48,0.19,0.19,0.18,19.17,0.19,0.19,0.18
ekstraksi_ciri/radius6resize32.csv,21.71,0.22,0.22,0.14,19.21,0.19,0.19,0.16,19.63,0.2,0.2,0.16,18.76,0.19,0.19,0.17,19.55,0.2,0.2,0.17
ekstraksi_ciri/radius6resize64.csv,21.45,0.21,0.21,0.13,16.52,0.17,0.17,0.15,17.81,0.18,0.18,0.16,17.77,0.18,0.18,0.17,17.24,0.17,0.17,0.18
ekstraksi_ciri/radius2resize32.csv,21.14,0.21,0.21,0.14,16.86,0.17,0.17,0.16,18.26,0.18,0.18,0.17,17.55,0.18,0.18,0.18,16.94,0.17,0.17,0.19
ekstraksi_ciri/radius1resize32zona16.csv,20.73,0.21,0.21,49.53,17.24,0.17,0.17,49.53,20.12,0.2,0.2,49.79,19.93,0.2,0.2,49.47,22.02,0.22,0.22,49.81
ekstraksi_ciri/radius7resize64.csv,19.93,0.2,0.2,0.13,18.15,0.18,0.18,0.15,17.7,0.18,0.18,0.16,18.3,0.18,0.18,0.17,18.45,0.18,0.18,0.17
ekstraksi_ciri/radius9resize64.csv,19.93,0.2,0.2,0.13,15.99,0.16,0.16,0.15,17.05,0.17,0.17,0.16,17.39,0.17,0.17,0.16,16.98,0.17,0.17,0.17
ekstraksi_ciri/radius5resize64.csv,19.55,0.2,0.2,0.13,15.27,0.15,0.15,0.15,15.38,0.15,0.15,0.16,15.57,0.16,0.16,0.17,15.84,0.16,0.16,0.17
ekstraksi_ciri/radius8resize128.csv,19.48,0.19,0.19,0.12,15.23,0.15,0.15,0.14,15.01,0.15,0.15,0.15,16.6,0.17,0.17,0.16,15.73,0.16,0.16,0.17
ekstraksi_ciri/radius4resize64.csv,19.32,0.19,0.19,0.12,15.61,0.16,0.16,0.14,17.13,0.17,0.17,0.15,15.61,0.16,0.16,0.16,15.88,0.16,0.16,0.17
ekstraksi_ciri/radius9resize128.csv,18.76,0.19,0.19,0.13,16.22,0.16,0.16,0.14,16.37,0.16,0.16,0.15,15.65,0.16,0.16,0.16,15.8,0.16,0.16,0.16
ekstraksi_ciri/radius1resize32.csv,18.49,0.18,0.18,0.14,14.36,0.14,0.14,0.15,16.26,0.16,0.16,0.16,15.99,0.16,0.16,0.17,14.93,0.15,0.15,0.19
ekstraksi_ciri/radius2.csv,17.92,0.18,0.18,0.11,11.14,0.11,0.11,0.16,11.71,0.12,0.12,0.12,12.32,0.12,0.12,0.12,11.97,0.12,0.12,0.13
ekstraksi_ciri/radius6resize128.csv,16.86,0.17,0.17,0.11,12.54,0.13,0.13,0.13,13.91,0.14,0.14,0.15,14.1,0.14,0.14,0.16,12.54,0.13,0.13,0.16
ekstraksi_ciri/radius7resize128.csv,16.64,0.17,0.17,0.12,13.91,0.14,0.14,0.14,14.59,0.15,0.15,0.15,14.25,0.14,0.14,0.15,14.13,0.14,0.14,0.16
ekstraksi_ciri/radius3resize64.csv,16.56,0.17,0.17,0.14,13.79,0.14,0.14,0.15,15.04,0.15,0.15,0.17,14.97,0.15,0.15,0.17,14.85,0.15,0.15,0.19
ekstraksi_ciri/radius9resize256.csv,16.07,0.16,0.16,0.11,12.43,0.12,0.12,0.12,13.6,0.14,0.14,0.13,13.91,0.14,0.14,0.14,13,0.13,0.13,0.16
ekstraksi_ciri/radius4resize128.csv,15.95,0.16,0.16,0.12,11.48,0.11,0.11,0.13,12.81,0.13,0.13,0.14,13.45,0.13,0.13,0.15,12.54,0.13,0.13,0.15
ekstraksi_ciri/radius7resize256.csv,15.12,0.15,0.15,0.11,11.71,0.12,0.12,0.13,11.75,0.12,0.12,0.13,12.28,0.12,0.12,0.15,11.1,0.11,0.11,0.16
ekstraksi_ciri/radius8resize256.csv,14.97,0.15,0.15,0.12,13.19,0.13,0.13,0.14,13.26,0.13,0.13,0.14,13.38,0.13,0.13,0.15,12.05,0.12,0.12,0.15
ekstraksi_ciri/radius2resize64.csv,14.82,0.15,0.15,0.13,11.75,0.12,0.12,0.15,11.79,0.12,0.12,0.17,13.04,0.13,0.13,0.17,12.31,0.12,0.12,0.18
ekstraksi_ciri/radius1resize64.csv,14.7,0.15,0.15,0.13,11.44,0.11,0.11,0.15,11.37,0.11,0.11,0.16,11.67,0.12,0.12,0.16,12.47,0.12,0.12,0.18
ekstraksi_ciri/radius5resize128.csv,14.67,0.15,0.15,0.12,11.44,0.11,0.11,0.13,11.41,0.11,0.11,0.14,11.71,0.12,0.12,0.15,12.5,0.13,0.13,0.15
ekstraksi_ciri/radius6resize256.csv,14.63,0.15,0.15,0.11,10.8,0.11,0.11,0.13,11.82,0.12,0.12,0.13,11.44,0.11,0.11,0.14,11.25,0.11,0.11,0.14
ekstraksi_ciri/radius5resize256.csv,14.51,0.15,0.15,0.11,10.42,0.1,0.1,0.13,11.71,0.12,0.12,0.14,11.14,0.11,0.11,0.14,11.07,0.11,0.11,0.15
ekstraksi_ciri/radius4resize256.csv,14.36,0.14,0.14,0.12,11.14,0.11,0.11,0.14,10.99,0.11,0.11,0.15,10.88,0.11,0.11,0.15,10.31,0.1,0.1,0.15
ekstraksi_ciri/radius1.csv,14.17,0.14,0.14,0.11,9.17,0.09,0.09,0.11,9.28,0.09,0.09,0.12,9.4,0.09,0.09,0.12,9.4,0.09,0.09,0.12
ekstraksi_ciri/radius3resize128.csv,14.13,0.14,0.14,0.14,11.52,0.12,0.12,0.14,11.22,0.11,0.11,0.16,12.13,0.12,0.12,0.17,12.35,0.12,0.12,0.17
ekstraksi_ciri/radius2resize128.csv,14.06,0.14,0.14,0.12,9.97,0.1,0.1,0.14,10.27,0.1,0.1,0.15,10.5,0.1,0.1,0.16,10.5,0.1,0.1,0.17
ekstraksi_ciri/radius1resize256.csv,13.49,0.13,0.13,0.12,9.51,0.1,0.1,0.13,9.63,0.1,0.1,0.15,9.93,0.1,0.1,0.14,10.46,0.1,0.1,0.16
ekstraksi_ciri/radius1resize128.csv,13.41,0.13,0.13,0.12,9.59,0.1,0.1,0.15,9.7,0.1,0.1,0.15,10.23,0.1,0.1,0.16,11.14,0.11,0.11,0.17
ekstraksi_ciri/radius3resize256.csv,13.19,0.13,0.13,0.12,10.23,0.1,0.1,0.14,11.06,0.11,0.11,0.17,11.18,0.11,0.11,0.16,10.53,0.11,0.11,0.18
ekstraksi_ciri/radius2resize256.csv,12.81,0.13,0.13,0.12,10.04,0.1,0.1,0.14,10.61,0.11,0.11,0.15,10.46,0.1,0.1,0.15,10.69,0.11,0.11,0.16
